
dataset,model,oversampling,mean_acc_cv,std_acc_cv,best_acc,train_full_acc_score,test_acc_score,auc_score
Baseline,Decision Tree,False,0.9977393460643709,0.0015985243717169483,0.9977393460643709,0.9997739602169982,0.9984185556141276,0.9927184466019418
Baseline,KNN,False,0.9918623616330496,0.0019449833512514903,0.9918623616330496,1.0,0.9910384818133896,0.9699466508595139
Baseline,LVQ,False,0.9672221796150012,0.0049167757822756375,0.9672221796150012,0.9663200723327305,0.9620453347390617,0.966271351519467
Baseline,SVM,False,0.9925405833780708,0.002730930388292716,0.9925405833780708,0.9963833634719711,0.9905113336847654,0.9642244835881978
Baseline,MLP,False,0.9932185494797657,0.005489615981697121,0.9932185494797657,0.98123869801085,0.9841855561412757,0.936929317181418
Baseline,Bagging LVQ,False,0.9080026586905949,0.0036651378207331383,0.9080026586905949,0.9109403254972875,0.9056404849762784,0.9169341894060996
Baseline,Bagging KNN,False,0.9896017076974205,0.001502860562120233,0.9896017076974205,0.994122965641953,0.9878755930416447,0.9601869996080847
Baseline,Bagging SVM,False,0.9832727458649693,0.0028064348791995647,0.9832727458649693,0.9859855334538878,0.981549815498155,0.9474825795873753
Baseline,Bagging MLP,False,0.9810123475726666,0.0021939068987620516,0.9810123475726666,0.9844032549728752,0.9810226673695308,0.9486348959234272
Baseline,Boosting DTREE,False,0.9975133573638061,0.001318256138777855,0.9975133573638061,1.0,0.9984185556141276,0.9927184466019418
Baseline,Boosting SVM,False,0.8933093028606489,0.0005357357090808131,0.8933093028606489,0.8933092224231465,0.8929889298892989,
Baseline,Stacking SVM,False,0.9975133573638061,0.0008463931661849348,0.9975133573638061,1.0,0.9968371112282551,0.9876268473258439
Manual,Decision Tree,False,0.981011324999361,0.003948641497280211,0.981011324999361,0.9850813743218807,0.9810226673695308,0.9376595316233177
Manual,KNN,False,0.9798826597131681,0.003739738374643891,0.9798826597131681,0.989376130198915,0.9762783342119136,0.9295289342018315
Manual,LVQ,False,0.9796556484392974,0.002267950889873983,0.9796556484392974,0.9794303797468354,0.9810226673695308,0.9295354505438539
Manual,SVM,False,0.9812380806299051,0.0025419227215964504,0.9812380806299051,0.9814647377938517,0.9831312598840274,0.935781942131884
Manual,MLP,False,0.9805603701715366,0.0028955190130652035,0.9805603701715366,0.9810126582278481,0.9841855561412757,0.936929317181418
Manual,Bagging LVQ,False,0.9712904875118236,0.006626546616833305,0.9712904875118236,0.9737793851717902,0.9694254085397996,0.9262029588116545
Manual,Bagging KNN,False,0.9782986936626019,0.0033946742843375846,0.9782986936626019,0.9839511754068716,0.9783869267264101,0.9347960084628583
Manual,Bagging SVM,False,0.9807861032287752,0.0025809424603158307,0.9807861032287752,0.98123869801085,0.9841855561412757,0.936929317181418
Manual,Bagging MLP,False,0.9789779379809291,0.0015380318379403578,0.9789779379809291,0.9803345388788427,0.9799683711122825,0.9336682901543214
Manual,Boosting DTREE,False,0.979655904082624,0.005204881049734919,0.979655904082624,1.0,0.974169741697417,0.9300924942442285
Manual,Boosting SVM,False,0.8933093028606489,0.0005357357090808131,0.8933093028606489,0.8933092224231465,0.8929889298892989,
Baseline,Stacking SVM,False,0.9975133573638061,0.0008463931661849348,0.9975133573638061,1.0,0.9968371112282551,0.9876268473258439
Manual,Stacking SVM,False,0.9814638136871437,0.0030050254404412695,0.9814638136871437,0.9891500904159132,0.9757511860832894,0.9349622326010495
PCA,Decision Tree,False,0.9846279111383798,0.003960689605398387,0.9846279111383798,0.9970614828209765,0.9536109646810754,0.9079259274983902
PCA,KNN,False,0.9925393051614388,0.0034028658502253755,0.9925393051614388,1.0,0.959409594095941,0.8931890830756403
PCA,LVQ,False,0.9697085666078686,0.005189149750638488,0.9697085666078686,0.9701627486437613,0.9462308908803374,0.9394074714299434
PCA,SVM,False,0.9927660607919829,0.0020989608666232575,0.9927660607919829,0.9963833634719711,0.9478123352662098,0.84610686095932
PCA,MLP,False,0.9911820947414167,0.0052794883670255555,0.9911820947414167,0.9968354430379747,0.966789667896679,0.9070824701864396
PCA,Bagging LVQ,False,0.9199826162538025,0.003926418385574673,0.9199826162538025,0.9238245931283906,0.9146020031628888,0.93458123350132
