dataset,model,oversampling,mean_acc_cv,std_acc_cv,best_acc,train_full_acc_score,test_acc_score,auc_score,cv_scores
Baseline,Decision Tree,False,0.9977393460643709,0.0015985243717169483,0.9977393460643709,0.9997739602169982,0.9984185556141276,0.9927184466019418,[1.         0.99774011 0.99887006 0.99548023 0.99660633]
Baseline,KNN,False,0.9918623616330496,0.0019449833512514903,0.9918623616330496,1.0,0.9910384818133896,0.9699466508595139,[0.99435028 0.9920904  0.99322034 0.98870056 0.99095023]
Baseline,LVQ,False,0.9672221796150012,0.0049167757822756375,0.9672221796150012,0.9663200723327305,0.9620453347390617,0.966271351519467,[0.96723164 0.96949153 0.97288136 0.96836158 0.9581448 ]
Baseline,MLP,False,0.9821410128588592,0.006130403319194943,0.9821410128588592,0.994122965641953,0.9915656299420137,0.9799337627898244,[0.97966102 0.9920904  0.97966102 0.98531073 0.9739819 ]
Baseline,Bagging LVQ,False,0.9278922207735768,0.0034809188382884017,0.9278922207735768,0.9310578661844484,0.9261992619926199,0.9407882218628105,[0.93107345 0.9299435  0.92429379 0.93107345 0.92307692]
Baseline,Bagging KNN,False,0.9896017076974205,0.001502860562120233,0.9896017076974205,0.994122965641953,0.9878755930416447,0.9601869996080847,[0.9920904  0.98983051 0.98983051 0.98870056 0.98755656]
Baseline,Bagging SVM,False,0.9832727458649693,0.0028064348791995647,0.9832727458649693,0.9859855334538878,0.981549815498155,0.9474825795873753,[0.98644068 0.98531073 0.98418079 0.97853107 0.98190045]
Baseline,Bagging MLP,False,0.9810123475726666,0.0021939068987620516,0.9810123475726666,0.9844032549728752,0.9810226673695308,0.9486348959234272,[0.97966102 0.98531073 0.97966102 0.98079096 0.97963801]
Baseline,Boosting DTREE,False,0.9975133573638061,0.001318256138777855,0.9975133573638061,1.0,0.9984185556141276,0.9927184466019418,[0.99887006 0.99774011 0.99887006 0.99548023 0.99660633]
Baseline,Boosting SVM,False,0.8933093028606489,0.0005357357090808131,0.8933093028606489,0.8933092224231465,0.8929889298892989,,[0.89378531 0.89378531 0.89265537 0.89265537 0.89366516]
Baseline,Stacking SVM,False,0.9972873686632411,0.0005544976235127516,0.9972873686632411,1.0,0.9968371112282551,0.9876268473258439,[0.99774011 0.99774011 0.99661017 0.99774011 0.99660633]
Manual,Decision Tree,False,0.981011324999361,0.003948641497280211,0.981011324999361,0.9850813743218807,0.9810226673695308,0.9376595316233177,[0.98531073 0.98531073 0.98079096 0.97853107 0.97511312]
